Player Name,Team Initials,world_cup_matches,tournaments
Andre LEROND,FRA,6,1958
Andre MASCHINOT,FRA,3,1930
Andre NEURY,SUI,7,"1950, 1954"
Andre OOIJER,NED,7,1998
Andre SAEYS,BEL,2,1930
Andre STRAPPE,FRA,2,1954
Andre TASSIN,FRA,3,1930
Andre VAN DE WEYER,BEL,2,"1934, 1938"
Andrea CARNEVALE,ITA,7,1990
Andreas BREHME,FRG,14,"1986, 1990"
Andreas BREHME,GER,5,1994
Andreas HERAF,AUT,3,1998
Andreas HERZOG,AUT,6,"1990, 1998"
Andreas KOEPKE,FRG,7,1990
Andreas KOEPKE,GER,5,1994
Andreas KUPFER,GER,2,1938
Andreas MOELLER,FRG,7,1990
Andreas REISINGER,AUT,3,1990
Andrei BAL,URS,9,"1982, 1986"
Andrei BARBULESCU,ROU,2,1938
Andrei PIATNITSKI,RUS,3,1994
Andrei ZHELYAZKOV,BUL,4,1986
Andrei ZYGMANTOVICH,URS,3,1990
Andrej KVASNAK,TCH,9,"1962, 1970"
Andrej PANADIC,YUG,5,1990
Andres ESCOBAR,COL,7,"1990, 1994"
Andres PRIETO,CHI,3,1950
Andrew AULD,USA,3,1930
Andrew WILLIAMS,JAM,3,1998
Andrija ANKOVIC,YUG,6,1962
Andrzej BUNCOL,POL,11,"1982, 1986"
Andrzej FISCHER,POL,7,1974
Andrzej IWAN,POL,13,"1978, 1982"
Andrzej PALASZ,POL,11,"1982, 1986"
Andrzej SZARMACH,POL,20,"1974, 1978, 1982"
Andrzej ZGUTCZYNSKI,POL,4,1986
Andy EGLI,SUI,4,1994
Andy GORAM,SCO,6,"1986, 1990"
Andy PICHLER,AUT,5,1982
Andy TOWNSEND,IRL,9,"1990, 1994"
Anfilogino GUARISI,ITA,5,1934
Angel BARGAS,ARG,6,1974
Angel BERNI,PAR,2,1950
Angel BOSSIO,ARG,5,1930
Angel COMIZZO,ARG,5,1990
Angel GRIPPA,ARG,1,1934
Angel LABRUNA,ARG,3,1958
Angel MELOGNO,URU,4,1930
Angel Ruben CABRERA,URU,3,1962
Angelo DI LIVIO,ITA,5,1998
Angelo DOMENGHINI,ITA,6,1970
Angelo SCHIAVIO,ITA,5,1934
Angelo SORMANI,ITA,3,1962
Anibal ALZATE,COL,3,1962
Anibal PAZ,URU,4,1950
Anibal TARABINI,ARG,4,1966
Anker KIHLE,NOR,1,1938
Antal KOTASZ,HUN,4,1958
Antal NAGY,HUN,7,"1966, 1986"
Antal ROTH,HUN,3,1986
Antal SZABO,HUN,6,"1934, 1938"
Antal SZALAY,HUN,6,"1934, 1938"
Antal SZENTIMIHALYI,HUN,8,"1962, 1966"
Anthony SERIC,CRO,7,1998
Antoine CUISSARD,FRA,2,1954
Anton DOBOS,ROU,4,1998
Anton JANDA,AUT,4,1934
Anton KRASNOHORSKY,TCH,2,1954
Anton MALATINSKY,TCH,2,1954
Anton MORAVCIK,TCH,4,1958
